"geoid","region_type","region_name","year","measure","value"
20120,"zip code","CENTREVILLE","2019","total_pop",38391.0796162797
20120,"zip code","CENTREVILLE","2019","pop_black",2838.34887745757
20120,"zip code","CENTREVILLE","2019","pop_native",62.3658536585366
20120,"zip code","CENTREVILLE","2019","pop_AAPI",11501.4638753835
20120,"zip code","CENTREVILLE","2019","pop_white",21601.1514299436
20120,"zip code","CENTREVILLE","2019","pop_hispanic_or_latino",4615.59811598887
20120,"zip code","CENTREVILLE","2019","pop_male",19039.9371407532
20120,"zip code","CENTREVILLE","2019","pop_female",19351.1424755265
20120,"zip code","CENTREVILLE","2019","pop_under_20",10055.4197024861
20120,"zip code","CENTREVILLE","2019","pop_20_64",24796.5398084221
20120,"zip code","CENTREVILLE","2019","pop_65_plus",3619.69742524027
20120,"zip code","CENTREVILLE","2019","prct_total_pop",0.0355826582435806
20120,"zip code","CENTREVILLE","2019","perc_black",0.0266291598989257
20120,"zip code","CENTREVILLE","2019","perc_native",0.024761221120927
20120,"zip code","CENTREVILLE","2019","perc_AAPI",0.0576793901099348
20120,"zip code","CENTREVILLE","2019","perc_white",0.0324668285765533
20120,"zip code","CENTREVILLE","2019","perc_hispanic_or_latino",0.0254783404592154
20120,"zip code","CENTREVILLE","2019","perc_male",0.0355963356612934
20120,"zip code","CENTREVILLE","2019","perc_female",0.035569211040947
20120,"zip code","CENTREVILLE","2019","perc_under_20",0.0359385768034192
20120,"zip code","CENTREVILLE","2019","perc_20_64",0.0378141890134538
20120,"zip code","CENTREVILLE","2019","perc_65_plus",0.0259808160652349
20121,"zip code","CENTREVILLE","2019","total_pop",29486.8196725971
20121,"zip code","CENTREVILLE","2019","pop_black",2763.1597889312
20121,"zip code","CENTREVILLE","2019","pop_native",125
20121,"zip code","CENTREVILLE","2019","pop_AAPI",8427.82140624112
20121,"zip code","CENTREVILLE","2019","pop_white",15294.507133519
20121,"zip code","CENTREVILLE","2019","pop_hispanic_or_latino",4712.62516341727
20121,"zip code","CENTREVILLE","2019","pop_male",14505.736741886
20121,"zip code","CENTREVILLE","2019","pop_female",14981.0829307111
20121,"zip code","CENTREVILLE","2019","pop_under_20",8153.50994713806
20121,"zip code","CENTREVILLE","2019","pop_20_64",19066.8822448322
20121,"zip code","CENTREVILLE","2019","pop_65_plus",2196.79183008394
20121,"zip code","CENTREVILLE","2019","prct_total_pop",0.027329771331963
20121,"zip code","CENTREVILLE","2019","perc_black",0.0259237419438163
20121,"zip code","CENTREVILLE","2019","perc_native",0.0496289629428044
20121,"zip code","CENTREVILLE","2019","perc_AAPI",0.0422651937122421
20121,"zip code","CENTREVILLE","2019","perc_white",0.0229878552019452
20121,"zip code","CENTREVILLE","2019","perc_hispanic_or_latino",0.0260139347822068
20121,"zip code","CENTREVILLE","2019","perc_male",0.0271193686334883
20121,"zip code","CENTREVILLE","2019","perc_female",0.0275366325816839
20121,"zip code","CENTREVILLE","2019","perc_under_20",0.0291410554827677
20121,"zip code","CENTREVILLE","2019","perc_20_64",0.0290765846635774
20121,"zip code","CENTREVILLE","2019","perc_65_plus",0.0157677390582537
20124,"zip code","CLIFTON","2019","total_pop",16490.1128853949
20124,"zip code","CLIFTON","2019","pop_black",750.068617879347
20124,"zip code","CLIFTON","2019","pop_native",31.1882510013351
20124,"zip code","CLIFTON","2019","pop_AAPI",2683.71404096025
20124,"zip code","CLIFTON","2019","pop_white",11828.1287784834
20124,"zip code","CLIFTON","2019","pop_hispanic_or_latino",1003.50397726639
20124,"zip code","CLIFTON","2019","pop_male",8414.25120915042
20124,"zip code","CLIFTON","2019","pop_female",8075.86167624446
20124,"zip code","CLIFTON","2019","pop_under_20",4187.66776812201
20124,"zip code","CLIFTON","2019","pop_20_64",9874.07017386204
20124,"zip code","CLIFTON","2019","pop_65_plus",2378.06312696782
20124,"zip code","CLIFTON","2019","prct_total_pop",0.0152838122049127
20124,"zip code","CLIFTON","2019","perc_black",0.0070370831856888
20124,"zip code","CLIFTON","2019","perc_native",0.0123827244255691
20124,"zip code","CLIFTON","2019","perc_AAPI",0.0134587206280204
20124,"zip code","CLIFTON","2019","perc_white",0.0177778407173279
20124,"zip code","CLIFTON","2019","perc_hispanic_or_latino",0.00553939388622271
20124,"zip code","CLIFTON","2019","perc_male",0.0157309610932631
20124,"zip code","CLIFTON","2019","perc_female",0.0148441896215236
20124,"zip code","CLIFTON","2019","perc_under_20",0.0149669356590503
20124,"zip code","CLIFTON","2019","perc_20_64",0.0150577442970373
20124,"zip code","CLIFTON","2019","perc_65_plus",0.0170688357160591
20151,"zip code","CHANTILLY","2019","total_pop",19882.97597634
20151,"zip code","CHANTILLY","2019","pop_black",1028.7381548615
20151,"zip code","CHANTILLY","2019","pop_native",5.07760532150776
20151,"zip code","CHANTILLY","2019","pop_AAPI",7538.80824673547
20151,"zip code","CHANTILLY","2019","pop_white",10230.6229728317
20151,"zip code","CHANTILLY","2019","pop_hispanic_or_latino",3265.14091411317
20151,"zip code","CHANTILLY","2019","pop_male",9866.83413842784
20151,"zip code","CHANTILLY","2019","pop_female",10016.1418379122
20151,"zip code","CHANTILLY","2019","pop_under_20",5353.28145342926
20151,"zip code","CHANTILLY","2019","pop_20_64",12378.7511165523
20151,"zip code","CHANTILLY","2019","pop_65_plus",2165.01642121553
20151,"zip code","CHANTILLY","2019","prct_total_pop",0.0184284772947989
20151,"zip code","CHANTILLY","2019","perc_black",0.00965153827195163
20151,"zip code","CHANTILLY","2019","perc_native",0.00201597029071436
20151,"zip code","CHANTILLY","2019","perc_AAPI",0.0378068275950611
20151,"zip code","CHANTILLY","2019","perc_white",0.01537676745462
20151,"zip code","CHANTILLY","2019","perc_hispanic_or_latino",0.0180237468181881
20151,"zip code","CHANTILLY","2019","perc_male",0.018446654382804
20151,"zip code","CHANTILLY","2019","perc_female",0.0184106061592657
20151,"zip code","CHANTILLY","2019","perc_under_20",0.019132897716524
20151,"zip code","CHANTILLY","2019","perc_20_64",0.0188773287760425
20151,"zip code","CHANTILLY","2019","perc_65_plus",0.015539667217925
20152,"zip code","CHANTILLY","2019","total_pop",0
20152,"zip code","CHANTILLY","2019","pop_black",0
20152,"zip code","CHANTILLY","2019","pop_native",0
20152,"zip code","CHANTILLY","2019","pop_AAPI",0
20152,"zip code","CHANTILLY","2019","pop_white",0
20152,"zip code","CHANTILLY","2019","pop_hispanic_or_latino",0
20152,"zip code","CHANTILLY","2019","pop_male",0
20152,"zip code","CHANTILLY","2019","pop_female",0
20152,"zip code","CHANTILLY","2019","pop_under_20",0
20152,"zip code","CHANTILLY","2019","pop_20_64",0
20152,"zip code","CHANTILLY","2019","pop_65_plus",0
20152,"zip code","CHANTILLY","2019","prct_total_pop",0
20152,"zip code","CHANTILLY","2019","perc_black",0
20152,"zip code","CHANTILLY","2019","perc_native",0
20152,"zip code","CHANTILLY","2019","perc_AAPI",0
20152,"zip code","CHANTILLY","2019","perc_white",0
20152,"zip code","CHANTILLY","2019","perc_hispanic_or_latino",0
20152,"zip code","CHANTILLY","2019","perc_male",0
20152,"zip code","CHANTILLY","2019","perc_female",0
20152,"zip code","CHANTILLY","2019","perc_under_20",0
20152,"zip code","CHANTILLY","2019","perc_20_64",0
20152,"zip code","CHANTILLY","2019","perc_65_plus",0
20164,"zip code","STERLING","2019","total_pop",250.512820512821
20164,"zip code","STERLING","2019","pop_black",4.18803418803419
20164,"zip code","STERLING","2019","pop_native",0
20164,"zip code","STERLING","2019","pop_AAPI",40.5128205128205
20164,"zip code","STERLING","2019","pop_white",187.863247863248
20164,"zip code","STERLING","2019","pop_hispanic_or_latino",28.2051282051282
20164,"zip code","STERLING","2019","pop_male",126.324786324786
20164,"zip code","STERLING","2019","pop_female",124.188034188034
20164,"zip code","STERLING","2019","pop_under_20",62.5641025641026
20164,"zip code","STERLING","2019","pop_20_64",147.692307692308
20164,"zip code","STERLING","2019","pop_65_plus",36.9230769230769
20164,"zip code","STERLING","2019","prct_total_pop",0.000232187064470133
20164,"zip code","STERLING","2019","perc_black",3.92917984610922e-05
20164,"zip code","STERLING","2019","perc_native",0
20164,"zip code","STERLING","2019","perc_AAPI",0.000203170205473937
20164,"zip code","STERLING","2019","perc_white",0.000282361053020337
20164,"zip code","STERLING","2019","perc_hispanic_or_latino",0.000155693767318413
20164,"zip code","STERLING","2019","perc_male",0.000236171971741099
20164,"zip code","STERLING","2019","perc_female",0.000228269230221475
20164,"zip code","STERLING","2019","perc_under_20",0.000223607255754932
20164,"zip code","STERLING","2019","perc_20_64",0.0002252275874803
20164,"zip code","STERLING","2019","perc_65_plus",0.000265019850391861
20166,"zip code","STERLING","2019","total_pop",0
20166,"zip code","STERLING","2019","pop_black",0
20166,"zip code","STERLING","2019","pop_native",0
20166,"zip code","STERLING","2019","pop_AAPI",0
20166,"zip code","STERLING","2019","pop_white",0
20166,"zip code","STERLING","2019","pop_hispanic_or_latino",0
20166,"zip code","STERLING","2019","pop_male",0
20166,"zip code","STERLING","2019","pop_female",0
20166,"zip code","STERLING","2019","pop_under_20",0
20166,"zip code","STERLING","2019","pop_20_64",0
20166,"zip code","STERLING","2019","pop_65_plus",0
20166,"zip code","STERLING","2019","prct_total_pop",0
20166,"zip code","STERLING","2019","perc_black",0
20166,"zip code","STERLING","2019","perc_native",0
20166,"zip code","STERLING","2019","perc_AAPI",0
20166,"zip code","STERLING","2019","perc_white",0
20166,"zip code","STERLING","2019","perc_hispanic_or_latino",0
20166,"zip code","STERLING","2019","perc_male",0
20166,"zip code","STERLING","2019","perc_female",0
20166,"zip code","STERLING","2019","perc_under_20",0
20166,"zip code","STERLING","2019","perc_20_64",0
20166,"zip code","STERLING","2019","perc_65_plus",0
20170,"zip code","HERNDON","2019","total_pop",42882.8208696637
20170,"zip code","HERNDON","2019","pop_black",3115.03595032027
20170,"zip code","HERNDON","2019","pop_native",129
20170,"zip code","HERNDON","2019","pop_AAPI",7580.69477105996
20170,"zip code","HERNDON","2019","pop_white",26125.6000436102
20170,"zip code","HERNDON","2019","pop_hispanic_or_latino",12936.1529732214
20170,"zip code","HERNDON","2019","pop_male",22002.6074756448
20170,"zip code","HERNDON","2019","pop_female",20880.2133940189
20170,"zip code","HERNDON","2019","pop_under_20",11745.2625779601
20170,"zip code","HERNDON","2019","pop_20_64",26870.634240338
20170,"zip code","HERNDON","2019","pop_65_plus",4202.21042073307
20170,"zip code","HERNDON","2019","prct_total_pop",0.0397458152981683
20170,"zip code","HERNDON","2019","perc_black",0.0292250156669546
20170,"zip code","HERNDON","2019","perc_native",0.0512170897569741
20170,"zip code","HERNDON","2019","perc_AAPI",0.0380168868712575
20170,"zip code","HERNDON","2019","perc_white",0.0392671372554561
20170,"zip code","HERNDON","2019","perc_hispanic_or_latino",0.0714082338630155
20170,"zip code","HERNDON","2019","perc_male",0.0411352304021185
20170,"zip code","HERNDON","2019","perc_female",0.0383797865025878
20170,"zip code","HERNDON","2019","perc_under_20",0.0419781604073653
20170,"zip code","HERNDON","2019","perc_20_64",0.0409771383396974
20170,"zip code","HERNDON","2019","perc_65_plus",0.030161873544232
20171,"zip code","HERNDON","2019","total_pop",39775.3334827369
20171,"zip code","HERNDON","2019","pop_black",3241.92449711749
20171,"zip code","HERNDON","2019","pop_native",87.2774603236729
20171,"zip code","HERNDON","2019","pop_AAPI",13153.9354824896
20171,"zip code","HERNDON","2019","pop_white",21231.1371949794
20171,"zip code","HERNDON","2019","pop_hispanic_or_latino",2893.19045882807
20171,"zip code","HERNDON","2019","pop_male",19767.5147775083
20171,"zip code","HERNDON","2019","pop_female",20007.8187052286
20171,"zip code","HERNDON","2019","pop_under_20",11358.1139823777
20171,"zip code","HERNDON","2019","pop_20_64",24903.4526332617
20171,"zip code","HERNDON","2019","pop_65_plus",3458.6016938778
20171,"zip code","HERNDON","2019","prct_total_pop",0.036865649832898
20171,"zip code","HERNDON","2019","perc_black",0.0304154737635055
20171,"zip code","HERNDON","2019","perc_native",0.0346519187531651
20171,"zip code","HERNDON","2019","perc_AAPI",0.0659664703898512
20171,"zip code","HERNDON","2019","perc_white",0.0319106920772362
20171,"zip code","HERNDON","2019","perc_hispanic_or_latino",0.0159705610564369
20171,"zip code","HERNDON","2019","perc_male",0.0369565868840852
20171,"zip code","HERNDON","2019","perc_female",0.0367762434127765
20171,"zip code","HERNDON","2019","perc_under_20",0.0405944718147116
20171,"zip code","HERNDON","2019","perc_20_64",0.0379772287681003
20171,"zip code","HERNDON","2019","perc_65_plus",0.024824531969156
20190,"zip code","RESTON","2019","total_pop",15687.6413945954
20190,"zip code","RESTON","2019","pop_black",1973.84151318104
20190,"zip code","RESTON","2019","pop_native",20
20190,"zip code","RESTON","2019","pop_AAPI",1606.32147774823
20190,"zip code","RESTON","2019","pop_white",11122.0081991953
20190,"zip code","RESTON","2019","pop_hispanic_or_latino",2101.81633874053
20190,"zip code","RESTON","2019","pop_male",7442.34009783313
20190,"zip code","RESTON","2019","pop_female",8245.30129676229
20190,"zip code","RESTON","2019","pop_under_20",3139.23372796388
20190,"zip code","RESTON","2019","pop_20_64",10277.8107380704
20190,"zip code","RESTON","2019","pop_65_plus",2126.66545104504
20190,"zip code","RESTON","2019","prct_total_pop",0.01454004388444
20190,"zip code","RESTON","2019","perc_black",0.0185184216383989
20190,"zip code","RESTON","2019","perc_native",0.00794063407084869
20190,"zip code","RESTON","2019","perc_AAPI",0.00805563919174745
20190,"zip code","RESTON","2019","perc_white",0.0167165317460689
20190,"zip code","RESTON","2019","perc_hispanic_or_latino",0.0116021349596421
20190,"zip code","RESTON","2019","perc_male",0.0139139133847735
20190,"zip code","RESTON","2019","perc_female",0.0151556355027432
20190,"zip code","RESTON","2019","perc_under_20",0.0112197795591188
20190,"zip code","RESTON","2019","perc_20_64",0.0156734399596309
20190,"zip code","RESTON","2019","perc_65_plus",0.0152643984910488
20191,"zip code","RESTON","2019","total_pop",30001.4166965241
20191,"zip code","RESTON","2019","pop_black",3583.93582499184
20191,"zip code","RESTON","2019","pop_native",15
20191,"zip code","RESTON","2019","pop_AAPI",3225.22492303714
20191,"zip code","RESTON","2019","pop_white",20819.3454562216
20191,"zip code","RESTON","2019","pop_hispanic_or_latino",4685.93217572127
